keyword,n_posts,n_positive,n_neutral,n_negative,share_positive,share_neutral,share_negative,mean_score,median_score
green transition,221,50,127,44,0.22624434389140272,0.5746606334841629,0.19909502262443438,-0.00809213292782298,-0.0212121212121212
greenhouse effect,741,256,360,125,0.34547908232118757,0.48582995951417,0.16869095816464239,0.05231530255214365,0.0071428571428571
loss of biodiversity,97,36,45,16,0.3711340206185567,0.4639175257731959,0.16494845360824742,0.06948222095773642,0.0333333333333333
extreme weather events,667,179,338,150,0.2683658170914543,0.5067466266866567,0.22488755622188905,0.01257758186717814,0.0037878787878787
CO2,118,47,59,12,0.3983050847457627,0.5,0.1016949152542373,0.07600666896830638,0.060416666666666646
emissions,249,79,143,27,0.3172690763052209,0.5742971887550201,0.10843373493975904,0.046305766194487744,0.03125
global warming,162,52,94,16,0.32098765432098764,0.5802469135802469,0.09876543209876543,0.05721253789009888,0.0646428571428571
melting glaciers,385,120,195,70,0.3116883116883117,0.5064935064935064,0.18181818181818182,0.03125388309682141,0.0
renewable energy,40,12,25,3,0.3,0.625,0.075,0.045476700036075034,0.0212121212121212
misinformation,8,2,6,0,0.25,0.75,0.0,0.011215277777777803,-0.0016666666666666496
ecosystem,125,55,56,14,0.44,0.448,0.112,0.08046852848209989,0.0916666666666666
fossil fuels,116,24,73,19,0.20689655172413793,0.6293103448275862,0.16379310344827586,0.006735381391323503,0.0
energy consumption,257,90,128,39,0.35019455252918286,0.4980544747081712,0.1517509727626459,0.06594118998756991,0.0216666666666666
normatives,526,51,444,31,0.09695817490494296,0.844106463878327,0.058935361216730035,0.006423120165990887,0.0
deforestation,118,36,60,22,0.3050847457627119,0.5084745762711864,0.1864406779661017,0.03074155512230572,0.05
flooding,90,28,48,14,0.3111111111111111,0.5333333333333333,0.15555555555555556,0.043925755571588905,0.010357142857142801
tesla,2,0,1,1,0.0,0.5,0.5,-0.125,-0.125
green policies,131,37,52,42,0.2824427480916031,0.3969465648854962,0.32061068702290074,-0.0007242711345764787,-0.0166666666666666
rain,254,80,128,46,0.31496062992125984,0.5039370078740157,0.18110236220472442,0.034492762268352815,0.010357142857142801
electric vehicles,4,2,2,0,0.5,0.5,0.0,0.11785353535353532,0.13888888888888884
natural disaster,403,153,190,60,0.37965260545905705,0.47146401985111663,0.1488833746898263,0.06533754598666199,0.08
clean energy,19,12,5,2,0.631578947368421,0.2631578947368421,0.10526315789473684,0.1316927736006683,0.1442857142857143
net zero,78,18,56,4,0.23076923076923078,0.717948717948718,0.05128205128205128,0.03906636573303239,0.05
AI,2064,686,1033,345,0.3323643410852713,0.500484496124031,0.16715116279069767,0.04407566860384883,0.01020833333333325
heatwaves,805,286,405,114,0.3552795031055901,0.5031055900621118,0.14161490683229813,0.06325647697877068,0.0333333333333333
