keyword,n_posts,n_positive,n_neutral,n_negative,share_positive,share_neutral,share_negative,mean_score,median_score
green transition,209,46,121,42,0.22009569377990432,0.5789473684210527,0.20095693779904306,-0.009495335395155974,-0.0212121212121212
greenhouse effect,740,256,359,125,0.34594594594594597,0.4851351351351351,0.16891891891891891,0.05238599890694385,0.0077380952380952
loss of biodiversity,97,36,45,16,0.3711340206185567,0.4639175257731959,0.16494845360824742,0.06948222095773642,0.0333333333333333
extreme weather events,656,177,333,146,0.2698170731707317,0.5076219512195121,0.2225609756097561,0.013184283479497981,0.0043939393939393
CO2,110,44,55,11,0.4,0.5,0.1,0.07724086610539532,0.06541666666666665
emissions,158,49,87,22,0.310126582278481,0.5506329113924051,0.13924050632911392,0.03168924717843494,0.01875
global warming,149,46,87,16,0.3087248322147651,0.5838926174496645,0.10738255033557047,0.05245737847090115,0.0616666666666666
melting glaciers,385,120,195,70,0.3116883116883117,0.5064935064935064,0.18181818181818182,0.03125388309682141,0.0
renewable energy,23,8,13,2,0.34782608695652173,0.5652173913043478,0.08695652173913043,0.05348604837191793,0.0333333333333333
misinformation,5,0,5,0,0.0,1.0,0.0,-0.03288888888888884,-0.0249999999999999
