keyword,degree,strength,betweenness,closeness,clustering,community
Emissions,15,131,0.21461988304093568,0.36,0.42857142857142855,2
Greenhouse Effect,12,209,0.07202729044834308,0.3673469387755102,0.5909090909090909,2
Glaciers,12,50,0.09717348927875244,0.4090909090909091,0.6060606060606061,1
Extreme weather events,12,139,0.041812865497076024,0.36,0.6212121212121212,1
Rain,12,118,0.094541910331384,0.375,0.6212121212121212,1
Global Warming,11,104,0.07855750487329434,0.391304347826087,0.7454545454545455,2
Fossil Fuels,10,77,0.011695906432748537,0.3103448275862069,0.7555555555555555,3
CO2,10,116,0.19161793372319685,0.4090909090909091,0.7555555555555555,2
Energy Consumption,8,53,0.12758284600389863,0.4186046511627907,0.5357142857142857,3
Renewable Energy,8,22,0.044931773879142295,0.3829787234042553,0.8928571428571429,3
Flooding,7,49,0.029824561403508767,0.35294117647058826,1.0,1
Biodiversity,5,9,0.09600389863547756,0.4186046511627907,0.7,1
Green Policies,4,9,0.05263157894736842,0.32727272727272727,0.6666666666666666,1
Ecosystem,4,23,0.0,0.3,1.0,1
Deforestation,4,10,0.06335282651072124,0.36,0.5,2
Energy Transition,3,3,0.16500974658869394,0.4186046511627907,0.6666666666666666,3
Tesla,2,2,0.024366471734892783,0.3673469387755102,0.0,3
Normatives,2,11,0.0,0.26865671641791045,1.0,1
Electric Vehicles,1,1,0.0,0.26865671641791045,0.0,2
Fake News,0,0,0.0,0.0,0.0,4
