keyword,n_posts,n_positive,n_neutral,n_negative,share_positive,share_neutral,share_negative,mean_score,median_score
Green Transition,177,36,107,34,0.2033898305084746,0.6045197740112994,0.192090395480226,-0.010578352268677137,-0.0212121212121212
Greenhouse Effect,730,253,352,125,0.34657534246575344,0.4821917808219178,0.17123287671232876,0.05116797573617431,0.00871212121212115
Loss of biodiversity,94,34,44,16,0.3617021276595745,0.46808510638297873,0.1702127659574468,0.0681947994381505,0.01949404761904755
Extreme weather events,630,167,322,141,0.2650793650793651,0.5111111111111111,0.22380952380952382,0.011685922705622248,0.0043939393939393
CO2,109,43,54,12,0.3944954128440367,0.4954128440366973,0.11009174311926606,0.07191738781278427,0.0625
Emissions,154,49,84,21,0.3181818181818182,0.5454545454545454,0.13636363636363635,0.03323253340975202,0.01875
Global Warming,145,45,84,16,0.3103448275862069,0.5793103448275863,0.1103448275862069,0.05324355902642026,0.0642857142857143
Glaciers melting,90,26,39,25,0.28888888888888886,0.43333333333333335,0.2777777777777778,0.016136343594676934,0.0
Renewable Energy,20,8,10,2,0.4,0.5,0.1,0.057721076839826836,0.07099999999999995
Misinformation,4,0,4,0,0.0,1.0,0.0,-0.06111111111111105,-0.06111111111111105
