keyword,n_posts,n_positive,n_neutral,n_negative,share_positive,share_neutral,share_negative,mean_score,median_score
Green Transition,209,43,127,39,0.20574162679425836,0.6076555023923444,0.18660287081339713,-0.00791203902866583,-0.0212121212121212
Greenhouse Effect,730,253,352,125,0.34657534246575344,0.4821917808219178,0.17123287671232876,0.05116797573617431,0.00871212121212115
Loss of biodiversity,94,34,44,16,0.3617021276595745,0.46808510638297873,0.1702127659574468,0.0681947994381505,0.01949404761904755
Extreme weather events,631,167,322,142,0.26465927099841524,0.5103011093502378,0.22503961965134706,0.011416478559760196,0.0037878787878787
CO2,151,52,76,23,0.3443708609271523,0.5033112582781457,0.152317880794702,0.04632695413271335,0.0416666666666666
Emissions,541,178,294,69,0.3290203327171904,0.5434380776340111,0.12754158964879853,0.052460868688731545,0.0333333333333333
Global Warming,162,51,92,19,0.3148148148148148,0.5679012345679012,0.11728395061728394,0.052134030149554096,0.06297619047619045
Glaciers melting,90,26,39,25,0.28888888888888886,0.43333333333333335,0.2777777777777778,0.016136343594676934,0.0
Renewable Energy,68,15,40,13,0.22058823529411764,0.5882352941176471,0.19117647058823528,-0.004217070195846938,0.0
Misinformation,872,307,410,155,0.35206422018348627,0.4701834862385321,0.17775229357798164,0.048297861295786094,0.02525252525252525
climate policy,73,24,41,8,0.3287671232876712,0.5616438356164384,0.1095890410958904,0.06665660189632792,0.0416666666666666
carbon tax,310,87,150,73,0.2806451612903226,0.4838709677419355,0.23548387096774193,0.0128006513275824,0.0
Paris Agreement,411,155,213,43,0.3771289537712895,0.5182481751824818,0.10462287104622871,0.07209312001345013,0.0444444444444444
net zero targets,363,117,215,31,0.32231404958677684,0.5922865013774105,0.08539944903581267,0.06025633630972735,0.05
environmental regulation,315,123,148,44,0.3904761904761905,0.46984126984126984,0.13968253968253969,0.06614502396276771,0.0371212121212121
green subsidies,109,18,45,46,0.1651376146788991,0.41284403669724773,0.42201834862385323,-0.06874626886718001,-0.0666666666666666
international agreements,375,103,239,33,0.27466666666666667,0.6373333333333333,0.088,0.048921628931033675,0.0249999999999999
climate governance,191,88,95,8,0.4607329842931937,0.4973821989528796,0.041884816753926704,0.10758384770164872,0.08
policy implementation,137,47,75,15,0.34306569343065696,0.5474452554744526,0.10948905109489052,0.09974779014240692,0.05
policy misinformation,0,0,0,0,0.0,0.0,0.0,,
