keyword,degree,strength,betweenness,clustering
AI,24,1859,0.09413702239789196,0.39492753623188404
Emissions,21,272,0.15099363197189283,0.4714285714285714
Extreme weather events,17,366,0.028536922015182882,0.6397058823529411
Rain,16,518,0.0018115942028985505,0.6416666666666667
Greenhouse Effect,15,369,0.10080541439237091,0.6666666666666666
Heatwaves,15,469,0.0,0.7142857142857143
Fossil Fuels,14,120,0.002898550724637681,0.7142857142857143
Glaciers,14,191,0.13530648095865488,0.6923076923076923
Global Warming,14,156,0.025770907836125227,0.7692307692307693
Floodings,12,295,0.07607832988267771,0.6363636363636364
CO2,12,156,0.08177191166321601,0.8484848484848485
Natural Disaster,11,190,0.09556590752242926,0.8363636363636363
Renewable Energy,10,36,0.06770813727335467,0.8666666666666667
Energy Consumption,10,195,0.08992408557625949,0.5777777777777777
Ecosystem,10,63,0.0197463768115942,0.8888888888888888
Net Zero,8,94,0.03297101449275362,0.8214285714285714
Biodiversity,8,29,0.09745278875713659,0.7857142857142857
Clean Energy,8,19,0.04154040404040404,0.75
Deforestation,6,12,0.11226002258610954,0.7333333333333333
Green Policies,6,58,0.028321256038647342,0.7333333333333333
Energy Transition,5,9,0.06568793525315267,0.9
Tesla,3,3,0.06907114624505929,0.6666666666666666
Normatives,3,181,0.0,1.0
Fake News,2,2,0.006066095740008784,1.0
Electric Vehicles,2,2,0.027536231884057974,1.0
