keyword,n_posts,n_positive,n_neutral,n_negative,share_positive,share_neutral,share_negative,mean_score,median_score
green transition,221,50,127,44,0.22624434389140272,0.5746606334841629,0.19909502262443438,-0.00809213292782298,-0.0212121212121212
greenhouse effect,740,256,359,125,0.34594594594594597,0.4851351351351351,0.16891891891891891,0.05238599890694385,0.0077380952380952
loss of biodiversity,97,36,45,16,0.3711340206185567,0.4639175257731959,0.16494845360824742,0.06948222095773642,0.0333333333333333
extreme weather events,656,177,333,146,0.2698170731707317,0.5076219512195121,0.2225609756097561,0.013184283479497981,0.0043939393939393
CO2,114,46,57,11,0.40350877192982454,0.5,0.09649122807017543,0.07693380355198963,0.06541666666666665
emissions,202,67,111,24,0.3316831683168317,0.5495049504950495,0.1188118811881188,0.05154324736611982,0.03490259740259735
global warming,151,47,88,16,0.31125827814569534,0.5827814569536424,0.10596026490066225,0.05313438575700086,0.0642857142857143
melting glaciers,385,120,195,70,0.3116883116883117,0.5064935064935064,0.18181818181818182,0.03125388309682141,0.0
renewable energy,40,12,25,3,0.3,0.625,0.075,0.045476700036075034,0.0212121212121212
misinformation,8,2,6,0,0.25,0.75,0.0,0.011215277777777803,-0.0016666666666666496
ecosystem,105,45,48,12,0.42857142857142855,0.45714285714285713,0.11428571428571428,0.07474055463936416,0.0841666666666666
fossil fuels,110,21,70,19,0.19090909090909092,0.6363636363636364,0.17272727272727273,0.0018025641386030928,0.0
energy consumption,257,90,128,39,0.35019455252918286,0.4980544747081712,0.1517509727626459,0.06594118998756991,0.0216666666666666
normatives,526,51,444,31,0.09695817490494296,0.844106463878327,0.058935361216730035,0.006423120165990887,0.0
deforestation,118,36,60,22,0.3050847457627119,0.5084745762711864,0.1864406779661017,0.03074155512230572,0.05
flooding,67,20,36,11,0.29850746268656714,0.5373134328358209,0.16417910447761194,0.03852243113437143,0.01875
tesla,2,0,1,1,0.0,0.5,0.5,-0.125,-0.125
green policies,131,37,52,42,0.2824427480916031,0.3969465648854962,0.32061068702290074,-0.0007242711345764787,-0.0166666666666666
rain,195,61,97,37,0.3128205128205128,0.49743589743589745,0.18974358974358974,0.026442993734660393,0.0099999999999999
electric vehicles,4,2,2,0,0.5,0.5,0.0,0.11785353535353532,0.13888888888888884
