keyword,degree,strength,betweenness,closeness,clustering,community
Emissions,20,202,0.1870223978919631,0.38596491228070173,0.4052631578947368,1
Extreme weather events,16,173,0.07621870882740447,0.43137254901960786,0.575,2
Greenhouse Effect,15,215,0.09883932492628147,0.43137254901960786,0.6095238095238096,3
Rain,15,178,0.03504611330698287,0.36666666666666664,0.6,2
Heatwaves,14,258,0.0,0.2972972972972973,0.6703296703296703,1
Global Warming,13,112,0.04832800050191355,0.4230769230769231,0.7307692307692307,3
CO2,12,117,0.10400903444381705,0.43137254901960786,0.803030303030303,3
Glaciers,12,35,0.10270719618545704,0.4,0.7727272727272727,2
Fossil Fuels,12,81,0.01900997553171466,0.3333333333333333,0.696969696969697,3
Natural Disaster,10,36,0.11198945981554677,0.44,0.8444444444444444,2
Flooding,9,67,0.03068573938139156,0.4,0.9722222222222222,2
Ecosystem,9,46,0.01613965744400527,0.3728813559322034,0.8333333333333334,2
Energy Consumption,9,49,0.09051383399209485,0.4230769230769231,0.4722222222222222,4
Renewable Energy,8,22,0.01888136018570801,0.3793103448275862,0.8928571428571429,4
Net Zero,7,84,0.02503293807641634,0.36065573770491804,0.7619047619047619,1
Biodiversity,6,18,0.06923897358679966,0.38596491228070173,0.7333333333333333,1
Clean Energy,6,9,0.06469038208168643,0.4074074074074074,0.6,1
Green Policies,5,11,0.02411067193675889,0.3283582089552239,0.6,1
Tesla,4,6,0.011857707509881422,0.36666666666666664,0.0,4
Deforestation,4,10,0.051778656126482206,0.3793103448275862,0.5,1
Energy Transition,3,3,0.03853754940711462,0.36666666666666664,1.0,1
Normatives,2,11,0.0,0.28205128205128205,1.0,2
Electric Vehicles,1,1,0.0,0.28205128205128205,0.0,1
Fake News,0,0,0.0,0.0,0.0,5
