keyword,degree,strength,betweenness,closeness,clustering,community
Greenhouse Effect,7,158,0.1296296296296296,0.5833333333333334,0.8095238095238095,2
Extreme weather events,7,47,0.027777777777777776,0.4666666666666667,0.8095238095238095,1
Glaciers,7,17,0.10185185185185183,0.5833333333333334,0.8095238095238095,1
Global Warming,7,89,0.018518518518518517,0.5,0.8095238095238095,1
Emissions,6,76,0.0,0.4117647058823529,0.9333333333333333,1
Renewable Energy,5,7,0.21759259259259256,0.6363636363636364,1.0,1
CO2,5,97,0.0,0.35,1.0,2
Biodiversity,4,7,0.050925925925925916,0.5384615384615384,1.0,1
Energy Transition,0,0,0.0,0.0,0.0,3
Fake News,0,0,0.0,0.0,0.0,4
