keyword,degree,strength,betweenness,closeness,clustering,community
Emissions,15,125,0.22124756335282647,0.34615384615384615,0.41904761904761906,2
Greenhouse Effect,12,207,0.0810916179337232,0.375,0.5909090909090909,2
Rain,12,109,0.07719298245614034,0.375,0.6212121212121212,1
Extreme weather events,12,130,0.036062378167641324,0.35294117647058826,0.6212121212121212,1
Glaciers,11,34,0.07173489278752436,0.4,0.7090909090909091,1
Global Warming,11,97,0.04990253411306043,0.391304347826087,0.7454545454545455,2
Fossil Fuels,10,72,0.007797270955165692,0.3157894736842105,0.7555555555555555,3
CO2,10,111,0.19210526315789472,0.4186046511627907,0.7555555555555555,2
Energy Consumption,8,48,0.1549707602339181,0.4090909090909091,0.5357142857142857,3
Renewable Energy,8,22,0.03898635477582846,0.375,0.8928571428571429,3
Flooding,7,43,0.06403508771929825,0.4090909090909091,1.0,1
Biodiversity,5,8,0.08382066276803118,0.3829787234042553,0.7,1
Green Policies,4,8,0.07212475633528265,0.32727272727272727,0.6666666666666666,3
Ecosystem,4,20,0.0,0.3050847457627119,1.0,1
Deforestation,4,10,0.07797270955165692,0.36,0.5,2
Energy Transition,2,2,0.08187134502923975,0.34615384615384615,1.0,3
Tesla,2,2,0.042884990253411304,0.3673469387755102,0.0,3
Normatives,2,11,0.0,0.2608695652173913,1.0,1
Electric Vehicles,1,1,0.0,0.2608695652173913,0.0,2
Fake News,0,0,0.0,0.0,0.0,4
