,Green Transition,Greenhouse Effect,Loss of biodiversity,Extreme weather events,CO2,Emissions,Global Warming,Glaciers melting,Renewable Energy,Misinformation,sea level rise,heatwaves,drought,wildfires,flooding,storms,crop failure,water scarcity,ecosystem collapse,climate refugees,Natural Disaster,Clean Energy,Net Zero,Tesla,Heatwaves
Green Transition,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
Greenhouse Effect,0.0,0.0,0.0,1.0,79.0,32.0,42.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0
Loss of biodiversity,0.0,0.0,0.0,1.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,3.0,10.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Extreme weather events,0.0,1.0,1.0,0.0,2.0,19.0,23.0,1.0,3.0,5.0,8.0,41.0,34.0,28.0,24.0,53.0,6.0,2.0,1.0,0.0,4.0,1.0,2.0,0.0,41.0
CO2,2.0,79.0,1.0,2.0,0.0,15.0,7.0,0.0,0.0,0.0,4.0,6.0,5.0,5.0,1.0,0.0,2.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,6.0
Emissions,7.0,32.0,7.0,19.0,15.0,0.0,20.0,2.0,1.0,0.0,12.0,94.0,15.0,4.0,3.0,3.0,3.0,5.0,8.0,9.0,1.0,3.0,39.0,0.0,94.0
Global Warming,0.0,42.0,2.0,23.0,7.0,20.0,0.0,3.0,1.0,0.0,15.0,20.0,17.0,8.0,6.0,9.0,7.0,5.0,14.0,4.0,1.0,0.0,0.0,0.0,20.0
Glaciers melting,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy,6.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
Misinformation,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
sea level rise,0.0,1.0,0.0,8.0,4.0,12.0,15.0,1.0,0.0,0.0,0.0,17.0,27.0,5.0,58.0,23.0,8.0,1.0,3.0,3.0,2.0,0.0,2.0,0.0,17.0
heatwaves,0.0,4.0,3.0,41.0,6.0,94.0,20.0,0.0,0.0,0.0,17.0,0.0,223.0,109.0,42.0,119.0,17.0,7.0,3.0,1.0,8.0,6.0,109.0,0.0,1512.0
