keyword,n_posts,n_positive,n_neutral,n_negative,share_positive,share_neutral,share_negative,mean_score,median_score
Green Transition,180,37,108,35,0.20555555555555555,0.6,0.19444444444444445,-0.009993095780248568,-0.0212121212121212
Greenhouse Effect,732,253,354,125,0.34562841530054644,0.48360655737704916,0.17076502732240437,0.0510281725237804,0.0077380952380952
Loss of biodiversity,94,34,44,16,0.3617021276595745,0.46808510638297873,0.1702127659574468,0.0681947994381505,0.01949404761904755
Extreme weather events,665,174,339,152,0.26165413533834586,0.5097744360902255,0.22857142857142856,0.009019221742771684,0.0020833333333333
CO2,134,51,66,17,0.3805970149253731,0.4925373134328358,0.12686567164179105,0.06782970361934913,0.05
Emissions,287,83,171,33,0.289198606271777,0.5958188153310104,0.11498257839721254,0.032260984400564616,0.004040404040404
Global Warming,208,64,112,32,0.3076923076923077,0.5384615384615384,0.15384615384615385,0.04544706355290432,0.05
Glaciers melting,91,26,39,26,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.014264881943453378,0.0
Renewable Energy,29,11,16,2,0.3793103448275862,0.5517241379310345,0.06896551724137931,0.0662929355127631,0.0333333333333333
Misinformation,13,2,10,1,0.15384615384615385,0.7692307692307693,0.07692307692307693,0.02356837606837609,-0.0027777777777777
sea level rise,458,159,206,93,0.3471615720524017,0.4497816593886463,0.20305676855895197,0.05519629791047965,0.0
heatwaves,1512,535,764,213,0.35383597883597884,0.5052910052910053,0.14087301587301587,0.062399833774432215,0.0313657407407407
drought,563,141,297,125,0.25044404973357015,0.5275310834813499,0.22202486678507993,0.005524095716654709,0.0
wildfires,182,53,93,36,0.29120879120879123,0.510989010989011,0.1978021978021978,0.02106037646216217,0.0
flooding,214,84,100,30,0.3925233644859813,0.4672897196261682,0.14018691588785046,0.09611389512616147,0.0357954545454545
storms,264,96,121,47,0.36363636363636365,0.4583333333333333,0.17803030303030304,0.026821864478114476,0.0
crop failure,783,108,296,379,0.13793103448275862,0.3780332056194125,0.4840357598978289,-0.08380281344310869,-0.0901515151515151
water scarcity,628,274,286,68,0.43630573248407645,0.4554140127388535,0.10828025477707007,0.08882001885823541,0.0700892857142857
ecosystem collapse,379,136,169,74,0.35883905013192613,0.44591029023746703,0.19525065963060687,0.05289275331211346,0.0277777777777777
climate refugees,442,130,256,56,0.29411764705882354,0.579185520361991,0.12669683257918551,0.05414932853483273,0.0
Natural Disaster,315,119,150,46,0.37777777777777777,0.47619047619047616,0.14603174603174604,0.06313445536627225,0.0771428571428571
Clean Energy,15,8,6,1,0.5333333333333333,0.4,0.06666666666666667,0.12821103896103897,0.1138888888888888
Net Zero,132,32,91,9,0.24242424242424243,0.6893939393939394,0.06818181818181818,0.038135382201038764,0.05
Tesla,0,0,0,0,0.0,0.0,0.0,,
Heatwaves,1512,535,764,213,0.35383597883597884,0.5052910052910053,0.14087301587301587,0.062399833774432215,0.0313657407407407
