,Green Transition,Greenhouse Effect,Loss of biodiversity,Extreme weather events,CO2,Emissions,Global Warming,Glaciers melting,Renewable Energy,Misinformation
Green Transition,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,6.0,0.0
Greenhouse Effect,0.0,0.0,0.0,1.0,79.0,32.0,40.0,0.0,1.0,0.0
Loss of biodiversity,0.0,0.0,0.0,1.0,1.0,7.0,2.0,0.0,0.0,0.0
Extreme weather events,0.0,1.0,1.0,0.0,2.0,15.0,22.0,1.0,3.0,4.0
CO2,2.0,79.0,1.0,2.0,0.0,12.0,3.0,0.0,0.0,0.0
Emissions,7.0,32.0,7.0,15.0,12.0,0.0,18.0,2.0,1.0,0.0
Global Warming,0.0,40.0,2.0,22.0,3.0,18.0,0.0,3.0,1.0,0.0
Glaciers melting,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0
Renewable Energy,6.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0
Misinformation,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
