keyword,degree,strength,betweenness,closeness,clustering,community
Emissions,8,94,0.013888888888888888,0.2727272727272727,0.5714285714285714,1
Extreme weather events,8,49,0.5203703703703704,0.42857142857142855,0.5,1
Global Warming,7,89,0.06435185185185184,0.32142857142857145,0.6666666666666666,1
CO2,6,99,0.20972222222222223,0.3103448275862069,0.6666666666666666,2
Renewable Energy,5,12,0.19328703703703703,0.3333333333333333,0.7,3
Greenhouse Effect,5,153,0.18935185185185183,0.391304347826087,0.9,2
Loss of biodiversity,4,11,0.21597222222222223,0.391304347826087,1.0,1
Green Transition,3,15,0.0,0.2,0.6666666666666666,3
Glaciers melting,3,6,0.053240740740740734,0.34615384615384615,1.0,1
Misinformation,1,4,0.0,0.16981132075471697,0.0,1
