,Green Transition,Greenhouse Effect,Loss of biodiversity,Extreme weather events,CO2,Emissions,Global Warming,Glaciers melting,Renewable Energy,Misinformation,sea level rise,heatwaves,drought,wildfires,flooding,storms,crop failure,water scarcity,ecosystem collapse,climate refugees
Green Transition,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greenhouse Effect,0.0,0.0,0.0,1.0,79.0,32.0,41.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0
Loss of biodiversity,0.0,0.0,0.0,1.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,3.0,10.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0
Extreme weather events,0.0,1.0,1.0,0.0,2.0,17.0,23.0,1.0,3.0,5.0,8.0,30.0,33.0,27.0,24.0,52.0,6.0,2.0,1.0,0.0
CO2,2.0,79.0,1.0,2.0,0.0,15.0,6.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,1.0,0.0,2.0,0.0,4.0,1.0
Emissions,7.0,32.0,7.0,17.0,15.0,0.0,20.0,2.0,1.0,0.0,12.0,50.0,10.0,3.0,3.0,2.0,3.0,5.0,8.0,9.0
Global Warming,0.0,41.0,2.0,23.0,6.0,20.0,0.0,3.0,1.0,0.0,14.0,12.0,17.0,7.0,6.0,9.0,7.0,5.0,14.0,4.0
Glaciers melting,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,6.0,1.0,1.0,0.0,0.0,0.0
Renewable Energy,6.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Misinformation,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
sea level rise,0.0,1.0,0.0,8.0,4.0,12.0,14.0,1.0,0.0,0.0,0.0,11.0,25.0,4.0,57.0,22.0,8.0,1.0,3.0,3.0
heatwaves,0.0,3.0,3.0,30.0,3.0,50.0,12.0,0.0,0.0,0.0,11.0,0.0,119.0,58.0,24.0,64.0,14.0,6.0,3.0,1.0
drought,0.0,1.0,10.0,33.0,3.0,10.0,17.0,2.0,0.0,0.0,25.0,119.0,0.0,49.0,25.0,36.0,116.0,87.0,11.0,13.0
wildfires,0.0,1.0,1.0,27.0,3.0,3.0,7.0,4.0,0.0,0.0,4.0,58.0,49.0,0.0,11.0,15.0,16.0,2.0,4.0,5.0
flooding,0.0,6.0,0.0,24.0,1.0,3.0,6.0,6.0,0.0,0.0,57.0,24.0,25.0,11.0,0.0,22.0,19.0,13.0,3.0,4.0
storms,0.0,2.0,2.0,52.0,0.0,2.0,9.0,1.0,0.0,0.0,22.0,64.0,36.0,15.0,22.0,0.0,7.0,2.0,4.0,4.0
crop failure,0.0,0.0,0.0,6.0,2.0,3.0,7.0,1.0,1.0,0.0,8.0,14.0,116.0,16.0,19.0,7.0,0.0,9.0,2.0,2.0
water scarcity,0.0,0.0,1.0,2.0,0.0,5.0,5.0,0.0,1.0,0.0,1.0,6.0,87.0,2.0,13.0,2.0,9.0,0.0,2.0,2.0
ecosystem collapse,0.0,0.0,0.0,1.0,4.0,8.0,14.0,0.0,1.0,0.0,3.0,3.0,11.0,4.0,3.0,4.0,2.0,2.0,0.0,1.0
climate refugees,0.0,0.0,0.0,0.0,1.0,9.0,4.0,0.0,1.0,1.0,3.0,1.0,13.0,5.0,4.0,4.0,2.0,2.0,1.0,0.0
