keyword,n_posts,n_positive,n_neutral,n_negative,share_positive,share_neutral,share_negative,mean_score,median_score
Green Transition,180,37,108,35,0.20555555555555555,0.6,0.19444444444444445,-0.009993095780248568,-0.0212121212121212
Greenhouse Effect,731,253,353,125,0.34610123119015046,0.4829001367989056,0.17099863201094392,0.051097978505345074,0.0083333333333333
Loss of biodiversity,94,34,44,16,0.3617021276595745,0.46808510638297873,0.1702127659574468,0.0681947994381505,0.01949404761904755
Extreme weather events,654,172,334,148,0.26299694189602446,0.5107033639143731,0.22629969418960244,0.009567928617868544,0.0025568181818181003
CO2,130,50,64,16,0.38461538461538464,0.49230769230769234,0.12307692307692308,0.06839113039738039,0.054166666666666655
Emissions,243,72,141,30,0.2962962962962963,0.5802469135802469,0.12345679012345678,0.03381165937436758,0.0175
Global Warming,198,59,107,32,0.29797979797979796,0.5404040404040404,0.16161616161616163,0.041611617828864696,0.05
Glaciers melting,91,26,39,26,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.014264881943453378,0.0
Renewable Energy,29,11,16,2,0.3793103448275862,0.5517241379310345,0.06896551724137931,0.0662929355127631,0.0333333333333333
Misinformation,13,2,10,1,0.15384615384615385,0.7692307692307693,0.07692307692307693,0.02356837606837609,-0.0027777777777777
sea level rise,452,154,206,92,0.3407079646017699,0.4557522123893805,0.20353982300884957,0.05459541297615465,0.0
heatwaves,787,277,396,114,0.3519695044472681,0.5031766200762389,0.144853875476493,0.06123390777704172,0.0297619047619047
drought,456,114,235,107,0.25,0.5153508771929824,0.23464912280701755,0.0018751049363126403,0.0
wildfires,127,34,64,29,0.2677165354330709,0.5039370078740157,0.2283464566929134,0.008154645915472686,0.0
flooding,192,77,88,27,0.4010416666666667,0.4583333333333333,0.140625,0.10073178586459836,0.046875
storms,205,78,91,36,0.3804878048780488,0.44390243902439025,0.17560975609756097,0.028165732528537404,0.01
crop failure,780,107,296,377,0.1371794871794872,0.37948717948717947,0.48333333333333334,-0.08397912056034001,-0.0901515151515151
water scarcity,627,274,285,68,0.4370015948963317,0.45454545454545453,0.10845295055821372,0.08896167758049736,0.0714285714285714
ecosystem collapse,379,136,169,74,0.35883905013192613,0.44591029023746703,0.19525065963060687,0.05289275331211346,0.0277777777777777
climate refugees,442,130,256,56,0.29411764705882354,0.579185520361991,0.12669683257918551,0.05414932853483273,0.0
