keyword,degree,strength,betweenness,closeness,clustering,community
Emissions,20,461,0.028230676328502416,0.35384615384615387,0.47368421052631576,1
Net Zero,19,678,0.08167270531400965,0.38333333333333336,0.49707602339181284,4
Clean Energy,15,49,0.1477551132442437,0.46,0.6,1
Global Warming,14,119,0.06504642700294874,0.45098039215686275,0.5824175824175825,3
Extreme weather events,14,99,0.10697346132128739,0.41818181818181815,0.6043956043956044,2
Paris Agreement,14,140,0.06589026915113873,0.4107142857142857,0.7032967032967034,1
climate policy,13,63,0.016941542756760148,0.38333333333333336,0.5897435897435898,2
Renewable Energy,13,52,0.0522288098375055,0.4339622641509434,0.5897435897435898,1
CO2,12,141,0.05121635610766046,0.4107142857142857,0.6515151515151515,3
carbon tax,12,64,0.06171811280506933,0.41818181818181815,0.6212121212121212,1
Heatwaves,12,181,0.0,0.23469387755102042,0.7424242424242424,2
Green Transition,11,31,0.08196914800175671,0.39655172413793105,0.5818181818181818,1
Greenhouse Effect,10,162,0.11066291799987454,0.46938775510204084,0.8222222222222222,3
net zero targets,10,416,0.04272382207164816,0.40350877192982454,0.8222222222222222,4
Misinformation,9,39,0.06500486228747097,0.36507936507936506,0.6666666666666666,2
Natural Disaster,7,13,0.12421497584541062,0.4339622641509434,1.0,2
climate governance,7,21,0.0490036231884058,0.3770491803278688,0.9047619047619048,1
environmental regulation,6,17,0.05953831796223101,0.36507936507936506,0.6,1
green subsidies,6,16,0.006461352657004831,0.36507936507936506,0.8,1
Loss of biodiversity,5,14,0.007884748102139407,0.3484848484848485,1.0,1
international agreements,4,7,0.020893719806763286,0.32857142857142857,0.8333333333333334,3
Tesla,4,8,0.0,0.2804878048780488,0.6666666666666666,1
Glaciers melting,3,6,0.0024154589371980675,0.3150684931506849,1.0,3
policy implementation,2,3,0.0012077294685990338,0.2911392405063291,1.0,2
policy misinformation,0,0,0.0,0.0,0.0,5
