keyword,degree,strength,betweenness,closeness,clustering,community
Emissions,8,94,0.5,6.007312497799713,0.5714285714285714,1
Extreme weather events,8,49,0.2222222222222222,5.464954165072288,0.5,1
Global Warming,7,89,0.3333333333333333,5.790160828987292,0.6666666666666666,1
CO2,6,99,0.0,5.595607079980683,0.6666666666666666,2
Renewable Energy,5,12,0.0,2.4979627686827532,0.7,3
Greenhouse Effect,5,153,0.2222222222222222,5.971580264890911,0.9,2
Loss of biodiversity,4,11,0.0,3.407759761039149,1.0,1
Green Transition,3,15,0.16666666666666666,3.821141765826787,0.6666666666666666,3
Glaciers melting,3,6,0.0,2.132182201977943,1.0,1
Misinformation,1,4,0.0,2.4678782596936206,0.0,1
