keyword,degree,strength,betweenness,closeness,clustering,community
Emissions,16,259,0.013645224171539959,0.26865671641791045,0.4083333333333333,1
Renewable Energy,11,36,0.14668615984405456,0.42857142857142855,0.45454545454545453,1
Paris Agreement,11,90,0.15224171539961012,0.42857142857142855,0.6181818181818182,1
Extreme weather events,10,56,0.13118908382066274,0.3673469387755102,0.5555555555555556,2
Global Warming,10,101,0.045516569200779726,0.391304347826087,0.5333333333333333,2
climate policy,10,44,0.09941520467836257,0.33962264150943394,0.4444444444444444,3
CO2,9,128,0.04619883040935673,0.34615384615384615,0.5833333333333334,2
carbon tax,9,51,0.0642300194931774,0.4,0.5833333333333334,1
Green Transition,8,24,0.12914230019493175,0.375,0.5,1
Greenhouse Effect,7,155,0.20799220272904484,0.45,0.8095238095238095,2
net zero targets,7,41,0.09035087719298245,0.4,0.7619047619047619,1
Misinformation,7,30,0.1286549707602339,0.375,0.5238095238095238,3
climate governance,5,17,0.024366471734892783,0.36,0.8,1
Loss of biodiversity,4,11,0.020077972709551656,0.3333333333333333,1.0,1
environmental regulation,4,14,0.04678362573099414,0.3333333333333333,0.6666666666666666,1
Glaciers melting,3,6,0.02339181286549707,0.29508196721311475,1.0,2
green subsidies,3,9,0.0,0.3,1.0,1
international agreements,3,4,0.06335282651072124,0.3157894736842105,0.6666666666666666,3
policy implementation,1,2,0.0,0.20689655172413793,0.0,3
policy misinformation,0,0,0.0,0.0,0.0,4
